DeclaredCounty/Area,State,DistinctDisasterNumbers,Latitude (generated),Longitude (generated)
Delta,Texas,3,33.357,-95.7245
Deaf Smith,Texas,4,34.9635,-102.6051
Dawson,Texas,4,32.737,-101.9478
Dallas,Texas,4,32.7661,-96.7774
Dallam,Texas,3,36.2673,-102.6022
Culberson,Texas,4,31.3019,-104.4978
Crosby,Texas,4,33.6161,-101.3
Crockett,Texas,5,30.6879,-101.3732
Crane,Texas,4,31.3689,-102.5403
Cottle,Texas,5,34.0712,-100.2829
Coryell,Texas,7,31.394,-97.8008
Cooke,Texas,3,33.6877,-97.2144
Concho,Texas,4,31.3218,-99.8577
Comanche,Texas,3,31.9702,-98.5993
Comal,Texas,6,29.8168,-98.2891
Colorado,Texas,3,29.6055,-96.5236
Collingsworth,Texas,3,34.9674,-100.2701
Collin,Texas,3,33.1929,-96.5676
Coleman,Texas,4,31.7432,-99.4612
Coke,Texas,6,31.8934,-100.5296
Cochran,Texas,4,33.6054,-102.8284
Clay,Texas,7,33.81,-98.2007
Childress,Texas,5,34.5307,-100.2067
Cherokee,Texas,5,31.7826,-95.1853
Chambers,Texas,2,29.7071,-94.5223
Castro,Texas,4,34.5304,-102.2618
Cass,Texas,6,33.101,-94.3483
Carson,Texas,4,35.3997,-101.3546
Camp,Texas,4,32.99,-94.9935
Cameron,Texas,2,26.1073,-97.5787
Callahan,Texas,7,32.2983,-99.3739
Calhoun,Texas,3,28.5138,-96.695
Caldwell,Texas,6,29.8519,-97.6266
Burnet,Texas,5,30.7338,-98.1859
Burleson,Texas,3,30.5133,-96.6354
Brown,Texas,6,31.7664,-98.958
Brooks,Texas,5,27.0383,-98.2019
Briscoe,Texas,5,34.535,-101.2086
Brewster,Texas,5,29.8231,-103.0823
Brazos,Texas,3,30.6529,-96.3806
Brazoria,Texas,2,29.2123,-95.5313
Bowie,Texas,6,33.4761,-94.3949
Bosque,Texas,5,31.8982,-97.6486
Borden,Texas,3,32.7474,-101.4322
Blanco,Texas,4,30.2172,-98.4077
Bexar,Texas,7,29.4377,-98.4722
Bell,Texas,7,31.0402,-97.51
Bee,Texas,2,28.4248,-97.7101
Baylor,Texas,4,33.616,-99.2137
Bastrop,Texas,12,30.1035,-97.3242
Bandera,Texas,3,29.729,-99.2012
Bailey,Texas,4,34.0706,-102.8295
Austin,Texas,3,29.8495,-96.275
Atascosa,Texas,2,28.9347,-98.5218
Armstrong,Texas,4,34.9658,-101.3572
Archer,Texas,6,33.6138,-98.6883
Aransas,Texas,3,28.2209,-96.8754
Angelina,Texas,3,31.2769,-94.6355
Andrews,Texas,6,32.2885,-102.6379
Anderson,Texas,6,31.7951,-95.6887
,Texas,3,,
Sevier,Tennessee,3,35.8034,-83.5126
Sequatchie,Tennessee,2,35.358,-85.3691
Rhea,Tennessee,1,35.6177,-84.9146
Polk,Tennessee,1,35.1357,-84.511
Pickett,Tennessee,1,36.5158,-85.1514
Marion,Tennessee,2,35.1518,-85.6252
Hawkins,Tennessee,1,36.4187,-82.9469
Hancock,Tennessee,1,36.4929,-83.2626
Grundy,Tennessee,2,35.3737,-85.6861
Grainger,Tennessee,1,36.2508,-83.5495
Fentress,Tennessee,1,36.3575,-84.9266
Bledsoe,Tennessee,1,35.5632,-85.2671
Anderson,Tennessee,1,36.1062,-84.2281
Pennington,South Dakota,3,44.0997,-103.0311
Meade,South Dakota,2,44.5827,-102.7842
Lawrence,South Dakota,3,44.3682,-103.8124
Fall River,South Dakota,2,43.2398,-103.5275
Custer,South Dakota,4,43.6671,-103.4818
Horry,South Carolina,3,33.9375,-78.9789
Wasco,Oregon,2,45.2651,-121.2515
Umatilla,Oregon,1,45.5072,-118.6314
Linn,Oregon,1,44.4967,-122.5258
Lake,Oregon,1,42.8178,-120.6468
Klamath,Oregon,1,42.8067,-121.8166
Josephine,Oregon,3,42.3912,-123.6336
Jefferson,Oregon,3,44.6083,-121.0936
Jackson,Oregon,4,42.5019,-122.7562
Hood River,Oregon,2,45.4923,-121.6721
Harney,Oregon,1,43.0263,-119.0802
Grant,Oregon,1,44.4798,-119.009
Douglas,Oregon,1,43.324,-122.8891
Deschutes,Oregon,4,44.0035,-121.4056
Curry,Oregon,1,42.4773,-124.2135
Baker,Oregon,1,44.6697,-117.7972
,Oregon,1,,
Woodward,Oklahoma,4,36.4904,-99.2829
Woods,Oklahoma,1,36.6966,-98.793
Washita,Oklahoma,1,35.2812,-98.9941
Washington,Oklahoma,2,36.7061,-95.9052
Wagoner,Oklahoma,1,35.9637,-95.5202
Tulsa,Oklahoma,5,36.1403,-96.0299
Tillman,Oklahoma,1,34.3822,-98.9386
Texas,Oklahoma,2,36.7482,-101.4928
Stephens,Oklahoma,3,34.4846,-97.8509
Sequoyah,Oklahoma,1,35.4655,-94.7664
Seminole,Oklahoma,2,35.1649,-96.6089
Rogers,Oklahoma,1,36.3402,-95.6238
Roger Mills,Oklahoma,1,35.7257,-99.6885
Pushmataha,Oklahoma,1,34.4191,-95.413
Pottawatomie,Oklahoma,4,35.1821,-96.9595
Pontotoc,Oklahoma,1,34.7367,-96.6696
Pittsburg,Oklahoma,1,34.9475,-95.7985
Payne,Oklahoma,5,36.0922,-96.9882
Pawnee,Oklahoma,3,36.3612,-96.7798
Ottawa,Oklahoma,1,36.8405,-94.8089
Osage,Oklahoma,3,36.5814,-96.4481
Okmulgee,Oklahoma,2,35.6142,-95.9529
Oklahoma,Oklahoma,12,35.553,-97.4075
Okfuskee,Oklahoma,2,35.4649,-96.2645
Nowata,Oklahoma,1,36.7972,-95.6211
Noble,Oklahoma,2,36.3869,-97.2468
